"filename", "language", "JSON", "JSON with Comments", "JavaScript", "vue", "Markdown", "SCSS", "CSS", "TypeScript", "HTML", "XML", "comment", "blank", "total"
"c:\code\vue\ScholarSHIP-FRONT\README.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 14, 36
"c:\code\vue\ScholarSHIP-FRONT\auto-imports.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 5, 2, 10
"c:\code\vue\ScholarSHIP-FRONT\components.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 5, 2, 57
"c:\code\vue\ScholarSHIP-FRONT\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\code\vue\ScholarSHIP-FRONT\jsconfig.json", "JSON with Comments", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\code\vue\ScholarSHIP-FRONT\package-lock.json", "JSON", 13085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13086
"c:\code\vue\ScholarSHIP-FRONT\package.json", "JSON", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"c:\code\vue\ScholarSHIP-FRONT\src\App.vue", "vue", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 5, 21, 111
"c:\code\vue\ScholarSHIP-FRONT\src\apis\user.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 2, 22
"c:\code\vue\ScholarSHIP-FRONT\src\assets\base.css", "CSS", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 2, 14, 75
"c:\code\vue\ScholarSHIP-FRONT\src\assets\font\font.css", "CSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\code\vue\ScholarSHIP-FRONT\src\assets\images\bgc1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\code\vue\ScholarSHIP-FRONT\src\assets\images\signin.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\code\vue\ScholarSHIP-FRONT\src\assets\images\signup.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\code\vue\ScholarSHIP-FRONT\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\code\vue\ScholarSHIP-FRONT\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 7, 36
"c:\code\vue\ScholarSHIP-FRONT\src\components\header.vue", "vue", 0, 0, 0, 342, 0, 0, 0, 0, 0, 0, 0, 53, 395
"c:\code\vue\ScholarSHIP-FRONT\src\main.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 15, 9, 53
"c:\code\vue\ScholarSHIP-FRONT\src\mock\index.js", "JavaScript", 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 6, 168
"c:\code\vue\ScholarSHIP-FRONT\src\router\index.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 1, 3, 79
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\content\dark\content.css", "CSS", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 13, 1, 73
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\content\dark\content.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\content\default\content.css", "CSS", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 13, 1, 68
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\content\default\content.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\content\document\content.css", "CSS", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 13, 1, 73
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\content\document\content.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\content\writer\content.css", "CSS", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 13, 1, 69
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\content\writer\content.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\content.css", "CSS", 0, 0, 0, 0, 0, 0, 697, 0, 0, 0, 17, 1, 715
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\content.inline.css", "CSS", 0, 0, 0, 0, 0, 0, 710, 0, 0, 0, 16, 1, 727
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\content.inline.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\content.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\content.mobile.css", "CSS", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 8, 1, 30
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\content.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\skin.css", "CSS", 0, 0, 0, 0, 0, 0, 3025, 0, 0, 0, 22, 1, 3048
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\skin.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\skin.mobile.css", "CSS", 0, 0, 0, 0, 0, 0, 643, 0, 0, 0, 30, 1, 674
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\skin.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\skin.shadowdom.css", "CSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 1, 38
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\skin.shadowdom.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\content.css", "CSS", 0, 0, 0, 0, 0, 0, 716, 0, 0, 0, 16, 1, 733
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\content.inline.css", "CSS", 0, 0, 0, 0, 0, 0, 710, 0, 0, 0, 16, 1, 727
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\content.inline.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\content.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\content.mobile.css", "CSS", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 8, 1, 30
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\content.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\skin.css", "CSS", 0, 0, 0, 0, 0, 0, 3025, 0, 0, 0, 22, 1, 3048
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\skin.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\skin.mobile.css", "CSS", 0, 0, 0, 0, 0, 0, 643, 0, 0, 0, 30, 1, 674
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\skin.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\skin.shadowdom.css", "CSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 1, 38
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\skin.shadowdom.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\zh-Hans.js", "JavaScript", 0, 0, 412, 0, 0, 0, 0, 0, 0, 0, 3, 1, 416
"c:\code\vue\ScholarSHIP-FRONT\src\stores\library.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\code\vue\ScholarSHIP-FRONT\src\stores\scholar.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\code\vue\ScholarSHIP-FRONT\src\stores\userStore.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 5, 7, 51
"c:\code\vue\ScholarSHIP-FRONT\src\styles\common.scss", "SCSS", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 14, 8, 116
"c:\code\vue\ScholarSHIP-FRONT\src\styles\element\index.scss", "SCSS", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 1, 26
"c:\code\vue\ScholarSHIP-FRONT\src\styles\var.scss", "SCSS", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\code\vue\ScholarSHIP-FRONT\src\utils\Input.vue", "vue", 0, 0, 0, 307, 0, 0, 0, 0, 0, 0, 0, 1, 308
"c:\code\vue\ScholarSHIP-FRONT\src\utils\http.js", "JavaScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 11, 9, 75
"c:\code\vue\ScholarSHIP-FRONT\src\views\AboutView.vue", "vue", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\code\vue\ScholarSHIP-FRONT\src\views\Admin\components\aside.vue", "vue", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\code\vue\ScholarSHIP-FRONT\src\views\Admin\components\header.vue", "vue", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
"c:\code\vue\ScholarSHIP-FRONT\src\views\Admin\components\main.vue", "vue", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 7, 77
"c:\code\vue\ScholarSHIP-FRONT\src\views\Admin\index.vue", "vue", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 2, 24
"c:\code\vue\ScholarSHIP-FRONT\src\views\HomeView.vue", "vue", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\code\vue\ScholarSHIP-FRONT\src\views\Home\components\HomeFooter.vue", "vue", 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 3, 26, 228
"c:\code\vue\ScholarSHIP-FRONT\src\views\Home\components\HomeHeader.vue", "vue", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 1, 20, 131
"c:\code\vue\ScholarSHIP-FRONT\src\views\Home\components\HomeHeaderFix.vue", "vue", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 1, 15, 137
"c:\code\vue\ScholarSHIP-FRONT\src\views\Home\components\HomeMain.vue", "vue", 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 4, 14, 130
"c:\code\vue\ScholarSHIP-FRONT\src\views\Home\components\HomeNav.vue", "vue", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 2, 9, 81
"c:\code\vue\ScholarSHIP-FRONT\src\views\Home\index.vue", "vue", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 5, 6, 24
"c:\code\vue\ScholarSHIP-FRONT\src\views\Institution\components\instdInfo.vue", "vue", 0, 0, 0, 337, 0, 0, 0, 0, 0, 0, 0, 8, 345
"c:\code\vue\ScholarSHIP-FRONT\src\views\Institution\index.vue", "vue", 0, 0, 0, 262, 0, 0, 0, 0, 0, 0, 0, 11, 273
"c:\code\vue\ScholarSHIP-FRONT\src\views\Introduction\components\main.vue", "vue", 0, 0, 0, 633, 0, 0, 0, 0, 0, 0, 0, 92, 725
"c:\code\vue\ScholarSHIP-FRONT\src\views\Introduction\index.vue", "vue", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 39, 4, 68
"c:\code\vue\ScholarSHIP-FRONT\src\views\Login\index.vue", "vue", 0, 0, 0, 534, 0, 0, 0, 0, 0, 0, 4, 82, 620
"c:\code\vue\ScholarSHIP-FRONT\src\views\UserCenter\components\articles.vue", "vue", 0, 0, 0, 327, 0, 0, 0, 0, 0, 0, 53, 32, 412
"c:\code\vue\ScholarSHIP-FRONT\src\views\UserCenter\components\followings.vue", "vue", 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 4, 17, 169
"c:\code\vue\ScholarSHIP-FRONT\src\views\UserCenter\components\histories.vue", "vue", 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 1, 25, 216
"c:\code\vue\ScholarSHIP-FRONT\src\views\UserCenter\components\infomation.vue", "vue", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 16, 137
"c:\code\vue\ScholarSHIP-FRONT\src\views\UserCenter\components\main.vue", "vue", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 2, 14, 107
"c:\code\vue\ScholarSHIP-FRONT\src\views\UserCenter\components\screening.vue", "vue", 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 16, 201
"c:\code\vue\ScholarSHIP-FRONT\src\views\UserCenter\components\test.vue", "vue", 0, 0, 0, 319, 0, 0, 0, 0, 0, 0, 38, 33, 390
"c:\code\vue\ScholarSHIP-FRONT\src\views\UserCenter\index.vue", "vue", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 3, 4, 33
"c:\code\vue\ScholarSHIP-FRONT\src\views\academic\index.vue", "vue", 0, 0, 0, 383, 0, 0, 0, 0, 0, 0, 6, 9, 398
"c:\code\vue\ScholarSHIP-FRONT\src\views\advancedSearch\index.vue", "vue", 0, 0, 0, 277, 0, 0, 0, 0, 0, 0, 129, 22, 428
"c:\code\vue\ScholarSHIP-FRONT\src\views\analyses\index.vue", "vue", 0, 0, 0, 514, 0, 0, 0, 0, 0, 0, 44, 45, 603
"c:\code\vue\ScholarSHIP-FRONT\src\views\scholar\academic.vue", "vue", 0, 0, 0, 256, 0, 0, 0, 0, 0, 0, 2, 5, 263
"c:\code\vue\ScholarSHIP-FRONT\src\views\scholar\datas.vue", "vue", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\code\vue\ScholarSHIP-FRONT\src\views\scholar\links.vue", "vue", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 1, 3, 94
"c:\code\vue\ScholarSHIP-FRONT\src\views\scholar\personalScholar\personalPortal.vue", "vue", 0, 0, 0, 215, 0, 0, 0, 0, 0, 0, 0, 4, 219
"c:\code\vue\ScholarSHIP-FRONT\src\views\scholar\personalScholar\removed.vue", "vue", 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 1, 5, 167
"c:\code\vue\ScholarSHIP-FRONT\src\views\scholar\personalScholar\unremoved.vue", "vue", 0, 0, 0, 279, 0, 0, 0, 0, 0, 0, 3, 9, 291
"c:\code\vue\ScholarSHIP-FRONT\src\views\scholar\scholarPortal.vue", "vue", 0, 0, 0, 223, 0, 0, 0, 0, 0, 0, 0, 7, 230
"c:\code\vue\ScholarSHIP-FRONT\src\views\search\index.vue", "vue", 0, 0, 0, 1378, 0, 0, 0, 0, 0, 0, 0, 65, 1443
"c:\code\vue\ScholarSHIP-FRONT\vite.config.js", "JavaScript", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 10, 5, 61
"Total", "-", 13137, 8, 869, 8514, 22, 118, 10610, 53, 13, 4, 775, 848, 34971